	FRAMES	TIME	FP1	FP1	FP1	FP2	FP2	FP2	FP3	FP3	FP3	FP1	FP1	FP1	FP2	FP2	FP2	FP3	FP3	FP3	FP1	FP2	FP3
	FRAME_NUMBERS	FRAME_NUMBERS	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	Z	Z	Z
104	104.00000	0.28611	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
105	105.00000	0.28889	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
106	106.00000	0.29167	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
107	107.00000	0.29444	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
108	108.00000	0.29722	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
109	109.00000	0.30000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
110	110.00000	0.30278	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
111	111.00000	0.30556	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
112	112.00000	0.30833	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
113	113.00000	0.31111	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
114	114.00000	0.31389	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
115	115.00000	0.31667	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
116	116.00000	0.31944	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
117	117.00000	0.32222	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
118	118.00000	0.32500	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
119	119.00000	0.32778	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
120	120.00000	0.33056	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
121	121.00000	0.33333	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
122	122.00000	0.33611	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
123	123.00000	0.33889	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
124	124.00000	0.34167	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
125	125.00000	0.34444	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
126	126.00000	0.34722	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
127	127.00000	0.35000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
128	128.00000	0.35278	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
129	129.00000	0.35556	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
130	130.00000	0.35833	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000										0.00000	0.00000	0.00000
